origin_id,origin_name,district_id,district_name,latitude,longitude,distance_to_nearest_stop_m,stop_density,stop_density_1km,population,population_density,num_healthcare_facilities,healthcare_density_1km,distance_to_city_center_km,urban_ring,interaction_stop_pop_density,interaction_fac_pop,analysis_unit,accessibility_score,score_2sfca
27,clinique al massira,,,33.5906505,-7.638654200000001,162.66145974401428,14.00563499208679,29.0,0.0,0.0,8.0,2.5464790894703255,3.118105504228182,Inner,0.0,0.0,facility_proxy,0.7710843373493976,
28,clinique les iris,,,33.588337499999994,-7.6364928,133.10838937926525,15.278874536821952,34.0,0.0,0.0,9.0,2.864788975654116,2.809557969957348,Inner,0.0,0.0,facility_proxy,0.8560240963855421,
29,akdital oasis,,,33.56068079999999,-7.629328299999999,419.9154782555286,14.00563499208679,25.0,0.0,0.0,7.0,2.228169203286535,2.318013329082421,Inner,0.0,0.0,facility_proxy,0.613855421686747,
30,clinique racine,,,33.586981399999985,-7.6369396000000025,131.83783772893312,11.459155902616464,38.0,0.0,0.0,8.0,2.5464790894703255,2.7682686382653747,Inner,0.0,0.0,facility_proxy,0.7698795180722893,
31,clinique le parc,,,33.5636438,-7.6150157,226.98235981035108,3.819718634205488,18.0,0.0,0.0,7.0,2.228169203286535,1.2939989630610762,Inner,0.0,0.0,facility_proxy,0.3849397590361446,
32,clinique rachidi,,,33.59328709999999,-7.628012599999999,45.79016750122377,15.278874536821952,39.0,0.0,0.0,6.0,1.909859317102744,2.5932326728177846,Inner,0.0,0.0,facility_proxy,0.8795180722891567,
33,best way medical,,,33.57547339999999,-7.6378886,121.37608275307537,11.459155902616464,31.0,0.0,0.0,6.0,1.909859317102744,2.5053863419503273,Inner,0.0,0.0,facility_proxy,0.7156626506024097,
34,clinique orl beausejour,,,33.5686395,-7.6434901,362.31301520690886,7.639437268410976,31.0,0.0,0.0,4.0,1.2732395447351628,3.1004023106644043,Inner,0.0,0.0,facility_proxy,0.3759036144578314,
35,clinique val d'anfa,,,33.5898915,-7.653113299999999,290.4864613101231,3.819718634205488,15.0,0.0,0.0,4.0,1.2732395447351628,4.259871316433706,Inner,0.0,0.0,facility_proxy,0.2746987951807229,
36,clinique attal,,,33.55864,-7.637683,97.6590483620648,8.91267681314614,26.0,0.0,0.0,6.0,1.909859317102744,3.063766045310767,Inner,0.0,0.0,facility_proxy,0.6590361445783133,
37,clinique maarif,,,33.57604619999999,-7.635531300000001,265.73669784269583,16.552114081557114,35.0,0.0,0.0,4.0,1.2732395447351628,2.289644199623245,Inner,0.0,0.0,facility_proxy,0.6144578313253013,
38,hôpital privé de casablanca aîn sebaâ,,,33.6123849,-7.5301441,73.87863416429092,5.092958178940651,10.0,0.0,0.0,1.0,0.3183098861837907,8.5766667989893,Middle,0.0,0.0,facility_proxy,0.39879518072289155,
39,clinique yasmine,,,33.5758186,-7.6719778,49.84899993954341,10.185916357881302,26.0,0.0,0.0,3.0,0.954929658551372,5.6696396856871685,Inner,0.0,0.0,facility_proxy,0.6909638554216867,
40,centre hospitalier universitaire ibn rochd,,,33.57853783736077,-7.620658876855622,61.04182186390582,16.552114081557114,34.0,0.0,0.0,7.0,2.228169203286535,0.9955594110459207,Inner,0.0,0.0,facility_proxy,0.9054216867469881,
41,clinique dar salam,,,33.56247495921656,-7.618476445621427,119.30075998561237,2.5464790894703255,15.0,0.0,0.0,9.0,2.864788975654116,1.5361973136467473,Inner,0.0,0.0,facility_proxy,0.5162650602409639,
42,polyclinique cnss ziraoui,,,33.59439337112966,-7.635563271517788,182.05541489212604,14.00563499208679,34.0,0.0,0.0,8.0,2.5464790894703255,3.155784645876604,Inner,0.0,0.0,facility_proxy,0.7566265060240964,
43,clinic lina,,,33.5198390807506,-7.651593535251406,135.14664027071845,7.639437268410976,17.0,0.0,0.0,1.0,0.3183098861837907,7.170025022803598,Inner,0.0,0.0,facility_proxy,0.383132530120482,
44,clinique le littoral,,,33.581245921255054,-7.675180503735034,275.6962006107807,3.819718634205488,11.0,0.0,0.0,3.0,0.954929658551372,6.00833534819798,Inner,0.0,0.0,facility_proxy,0.2403614457831325,
45,clinic guess,,,33.58104810313267,-7.675443551227194,60.37909130562639,3.819718634205488,11.0,0.0,0.0,3.0,0.954929658551372,6.030023127746609,Inner,0.0,0.0,facility_proxy,0.47168674698795177,
46,clinique sidi othmane,,,33.55981519485564,-7.5615639477505505,101.13217970503558,11.459155902616464,28.0,0.0,0.0,1.0,0.3183098861837907,4.872839109822892,Inner,0.0,0.0,facility_proxy,0.5530120481927712,
47,hopital 20 aout,,,33.574652934552425,-7.619653458168501,88.84794691231868,11.459155902616464,33.0,0.0,0.0,8.0,2.5464790894703255,0.8117623697186366,Inner,0.0,0.0,facility_proxy,0.8313253012048194,
48,polyclinique de la sécurité sociale,,,33.57085276501952,-7.622950527578939,29.423127509353613,11.459155902616464,29.0,0.0,0.0,8.0,2.5464790894703255,1.2001382556745661,Inner,0.0,0.0,facility_proxy,0.8927710843373495,
49,clinique el amine,,,33.57041568223584,-7.620489196179961,83.87442382924212,7.639437268410976,29.0,0.0,0.0,9.0,2.864788975654116,1.0131822080326007,Inner,0.0,0.0,facility_proxy,0.7246987951807229,
50,hôpital du cheikh khalifa ben zayd al-nahyan,,,33.5524293713991,-7.6683673842327,168.64993589842933,3.819718634205488,10.0,0.0,0.0,1.0,0.3183098861837907,5.882503148747672,Inner,0.0,0.0,facility_proxy,0.22771084337349395,
51,clinical abbadi,,,33.56966106189876,-7.661638730921235,184.40535630139183,7.639437268410976,25.0,0.0,0.0,3.0,0.954929658551372,4.743264458373567,Inner,0.0,0.0,facility_proxy,0.42831325301204826,
52,clinique cil,,,33.56914667929937,-7.660837763378024,151.51439231638778,7.639437268410976,25.0,0.0,0.0,3.0,0.954929658551372,4.676771025497177,Inner,0.0,0.0,facility_proxy,0.4644578313253013,
53,international clinic,,,33.56944737439043,-7.618755862439232,153.23565000477055,3.819718634205488,28.0,0.0,0.0,9.0,2.864788975654116,0.9392080955523663,Inner,0.0,0.0,facility_proxy,0.5150602409638554,
54,clinique riviera,,,33.56669850001627,-7.638882850027072,108.29465539149984,6.366197723675814,35.0,0.0,0.0,6.0,1.909859317102744,2.7475200376356503,Inner,0.0,0.0,facility_proxy,0.5481927710843374,
55,cinique al karim medecine physique,,,33.56165260965624,-7.617353722887663,369.55742869745325,3.819718634205488,15.0,0.0,0.0,6.0,1.909859317102744,1.575388175169186,Inner,0.0,0.0,facility_proxy,0.3,
56,cinique multidisciplinaire,,,33.56314485869004,-7.635495524635421,225.45455438695166,8.91267681314614,33.0,0.0,0.0,8.0,2.5464790894703255,2.6225725489417218,Inner,0.0,0.0,facility_proxy,0.5831325301204819,
57,hopital universitaire de proximite,,,33.56261287876023,-7.630181007272668,90.82407673335447,14.00563499208679,35.0,0.0,0.0,8.0,2.5464790894703255,2.2417159090181813,Inner,0.0,0.0,facility_proxy,0.8650602409638555,
58,clinique californie,,,33.54667226869135,-7.6308459270772016,99.8796883456243,5.092958178940651,13.0,0.0,0.0,2.0,0.6366197723675814,3.626473913084422,Inner,0.0,0.0,facility_proxy,0.3951807228915663,
59,hôpital sekkat,,,33.54605773943877,-7.588622488077647,31.172343176121327,10.185916357881302,35.0,0.0,0.0,2.0,0.6366197723675814,3.799604825236285,Inner,0.0,0.0,facility_proxy,0.6566265060240963,
60,centre de santé derb el kheir,,,33.5498334343254,-7.591374791701641,136.8126095963912,10.185916357881302,31.0,0.0,0.0,2.0,0.6366197723675814,3.309290937340676,Inner,0.0,0.0,facility_proxy,0.5265060240963856,
61,polyclinique cnss sidi bernoussi,,,33.61074841298406,-7.500801741294186,77.72708771555763,11.459155902616464,21.0,0.0,0.0,3.0,0.954929658551372,10.969054370995398,Middle,0.0,0.0,facility_proxy,0.7030120481927712,
62,clinique ain chock,,,33.54914320176086,-7.602540026227011,79.3407536332444,10.185916357881302,21.0,0.0,0.0,3.0,0.954929658551372,2.948833759485279,Inner,0.0,0.0,facility_proxy,0.6548192771084337,
63,hôpital municipal sidi moumen tacharouk,,,33.55210972506478,-7.608269259633504,192.05535647059315,6.366197723675814,17.0,0.0,0.0,4.0,1.2732395447351628,2.5275600641042537,Inner,0.0,0.0,facility_proxy,0.41807228915662653,
64,centre hospitalier préfectoral de ben m'sick,,,33.55233793198779,-7.577997816932463,108.19801217473444,5.092958178940651,35.0,0.0,0.0,2.0,0.6366197723675814,3.941786531044764,Inner,0.0,0.0,facility_proxy,0.3879518072289157,
65,polyclinique cnss hay hassani,,,33.56712676339928,-7.668455630399424,96.14479177363503,11.459155902616464,35.0,0.0,0.0,3.0,0.954929658551372,5.409094652443197,Inner,0.0,0.0,facility_proxy,0.6704819277108435,
66,clinique adoha,,,33.59704415596668,-7.522044369876583,90.63311729930392,1.2732395447351628,18.0,0.0,0.0,2.0,0.6366197723675814,8.60908216688814,Middle,0.0,0.0,facility_proxy,0.3253012048192771,
67,hôpital général de casablanca azhar-bernoussi,,,33.59923321543063,-7.483485369743223,124.17255563640367,8.91267681314614,12.0,0.0,0.0,1.0,0.3183098861837907,12.133211704078022,Middle,0.0,0.0,facility_proxy,0.44216867469879517,
68,clinique al amal,,,33.57255343106102,-7.553163115267273,945.8661041585276,1.2732395447351628,18.0,0.0,0.0,2.0,0.6366197723675814,5.366195191402005,Inner,0.0,0.0,facility_proxy,0.09397590361445783,
69,clinique les crêtes,,,33.549513550009955,-7.624092000001142,358.1973040273321,7.639437268410976,13.0,0.0,0.0,3.0,0.954929658551372,3.058997063173952,Inner,0.0,0.0,facility_proxy,0.341566265060241,
70,clinique green town,,,33.494231644491045,-7.59618654174666,297.2660058517687,0.0,1.0,0.0,0.0,1.0,0.3183098861837907,9.037917924554295,Middle,0.0,0.0,facility_proxy,0.06626506024096385,
71,hopital d'errahma,,,33.53162339196623,-7.73267840139236,219.06298661747047,2.5464790894703255,7.0,0.0,0.0,1.0,0.3183098861837907,12.277520385586794,Middle,0.0,0.0,facility_proxy,0.14578313253012049,
72,clinique mersultan,,,33.58065169323467,-7.613818164413029,200.44217112958273,6.366197723675814,19.0,0.0,0.0,6.0,1.909859317102744,0.7033265141110971,Inner,0.0,0.0,facility_proxy,0.45421686746987955,
73,hopital hassani,,,33.5584440469472,-7.68731139737092,183.44570696373165,10.185916357881302,30.0,0.0,0.0,1.0,0.3183098861837907,7.320611993487917,Inner,0.0,0.0,facility_proxy,0.42891566265060244,
74,clinique al wafaa,,,33.591292580511514,-7.5903533304946915,340.70071167340365,5.092958178940651,18.0,0.0,0.0,2.0,0.6366197723675814,2.643360554888019,Inner,0.0,0.0,facility_proxy,0.22168674698795182,
75,centre de santé al massira 2 (niveau 2),,,33.580251571665066,-7.566585414833268,66.63169129631972,10.185916357881302,20.0,0.0,0.0,1.0,0.3183098861837907,4.158557029337532,Inner,0.0,0.0,facility_proxy,0.5734939759036144,
76,clinique taha,,,33.55592913515371,-7.625772247092184,164.2811204440498,7.639437268410976,22.0,0.0,0.0,6.0,1.909859317102744,2.5060937721078393,Inner,0.0,0.0,facility_proxy,0.527710843373494,
77,hôpital al mansour,,,33.60752031789352,-7.50316335979685,275.6858017408669,8.91267681314614,17.0,0.0,0.0,3.0,0.954929658551372,10.637951792436834,Middle,0.0,0.0,facility_proxy,0.4078313253012048,
78,clinique jerrada oasis,,,33.55639592548778,-7.632356354256379,371.2115728603548,10.185916357881302,22.0,0.0,0.0,6.0,1.909859317102744,2.8507598451716185,Inner,0.0,0.0,facility_proxy,0.5048192771084338,
79,hôpital bouafi,,,33.55910413132997,-7.6099797302902425,370.1093363848901,6.366197723675814,21.0,0.0,0.0,6.0,1.909859317102744,1.7421547902785663,Inner,0.0,0.0,facility_proxy,0.3710843373493976,
80,centre de sante ain harrouda,,,33.640067555337254,-7.448780686618782,78.16334549898221,2.5464790894703255,6.0,0.0,0.0,1.0,0.3183098861837907,16.69507293581649,Middle,0.0,0.0,facility_proxy,0.308433734939759,
81,hôpital moulay youssef,,,33.60268940302063,-7.632351824576385,483.14809720183223,8.91267681314614,19.0,0.0,0.0,3.0,0.954929658551372,3.6781156239294197,Inner,0.0,0.0,facility_proxy,0.3680722891566265,
82,hôpital mohammed v,,,33.589365908252454,-7.551654023582983,148.71304515914207,1.2732395447351628,10.0,0.0,0.0,2.0,0.6366197723675814,5.732427773868791,Inner,0.0,0.0,facility_proxy,0.24578313253012046,
